Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 125.0.0.0,,,24-05-2024 08:54:10,24-05-2024 08:54:11,0.900s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 125.0.0.0,,,24-05-2024 08:54:11,24-05-2024 08:54:14,3.226s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,24-05-2024 08:54:14,24-05-2024 08:54:14,0.297s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 125.0.0.0,,,24-05-2024 08:54:14,24-05-2024 08:54:15,0.708s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 125.0.0.0,,,24-05-2024 08:54:15,24-05-2024 08:54:15,0.578s,PASSED
"click(findTestObject(""Page_Login/Link_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:54:15,24-05-2024 08:54:16,0.883s,PASSED
"setText(findTestObject(""Page_Login/input_username""), username)",Chrome 125.0.0.0,,,24-05-2024 08:54:16,24-05-2024 08:54:18,1.479s,PASSED
"setText(findTestObject(""Page_Login/input_password""), password)",Chrome 125.0.0.0,,,24-05-2024 08:54:18,24-05-2024 08:54:19,0.812s,PASSED
"click(findTestObject(""Page_Login/button_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:54:19,24-05-2024 08:54:19,0.891s,PASSED
delay(3),Chrome 125.0.0.0,,,24-05-2024 08:54:19,24-05-2024 08:54:22,3.006s,PASSED
"verifyTextPresent(Expected, false)",Chrome 125.0.0.0,,,24-05-2024 08:54:22,24-05-2024 08:54:25,2.138s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,24-05-2024 08:54:25,24-05-2024 08:54:25,0.560s,PASSED
,,,,,,,
Test Cases/TC_Login,Chrome 125.0.0.0,,,24-05-2024 08:54:25,24-05-2024 08:54:41,15.780s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,24-05-2024 08:54:25,24-05-2024 08:54:26,0.966s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 125.0.0.0,,,24-05-2024 08:54:26,24-05-2024 08:54:30,3.340s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,24-05-2024 08:54:30,24-05-2024 08:54:30,0.278s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 125.0.0.0,,,24-05-2024 08:54:30,24-05-2024 08:54:31,0.689s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 125.0.0.0,,,24-05-2024 08:54:31,24-05-2024 08:54:32,1.087s,PASSED
"click(findTestObject(""Page_Login/Link_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:54:32,24-05-2024 08:54:32,0.614s,PASSED
"setText(findTestObject(""Page_Login/input_username""), username)",Chrome 125.0.0.0,,,24-05-2024 08:54:32,24-05-2024 08:54:34,1.406s,PASSED
"setText(findTestObject(""Page_Login/input_password""), password)",Chrome 125.0.0.0,,,24-05-2024 08:54:34,24-05-2024 08:54:35,0.949s,PASSED
"click(findTestObject(""Page_Login/button_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:54:35,24-05-2024 08:54:35,0.721s,PASSED
delay(3),Chrome 125.0.0.0,,,24-05-2024 08:54:35,24-05-2024 08:54:38,3.019s,PASSED
"verifyTextPresent(Expected, false)",Chrome 125.0.0.0,,,24-05-2024 08:54:38,24-05-2024 08:54:41,2.590s,FAILED
,,,,,,,
Test Cases/TC_Login,Chrome 125.0.0.0,,,24-05-2024 08:54:41,24-05-2024 08:54:57,15.883s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,24-05-2024 08:54:41,24-05-2024 08:54:43,1.546s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 125.0.0.0,,,24-05-2024 08:54:43,24-05-2024 08:54:46,2.926s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,24-05-2024 08:54:46,24-05-2024 08:54:46,0.278s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 125.0.0.0,,,24-05-2024 08:54:46,24-05-2024 08:54:47,1.455s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 125.0.0.0,,,24-05-2024 08:54:47,24-05-2024 08:54:48,0.512s,PASSED
"click(findTestObject(""Page_Login/Link_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:54:48,24-05-2024 08:54:48,0.622s,PASSED
"setText(findTestObject(""Page_Login/input_username""), username)",Chrome 125.0.0.0,,,24-05-2024 08:54:48,24-05-2024 08:54:50,1.396s,PASSED
"setText(findTestObject(""Page_Login/input_password""), password)",Chrome 125.0.0.0,,,24-05-2024 08:54:50,24-05-2024 08:54:51,0.906s,PASSED
"click(findTestObject(""Page_Login/button_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:54:51,24-05-2024 08:54:51,0.693s,PASSED
delay(3),Chrome 125.0.0.0,,,24-05-2024 08:54:51,24-05-2024 08:54:54,3.013s,PASSED
"verifyTextPresent(Expected, false)",Chrome 125.0.0.0,,,24-05-2024 08:54:54,24-05-2024 08:54:57,2.485s,FAILED
,,,,,,,
Test Cases/TC_Login,Chrome 125.0.0.0,,,24-05-2024 08:54:57,24-05-2024 08:55:15,17.495s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,24-05-2024 08:54:57,24-05-2024 08:54:59,1.477s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 125.0.0.0,,,24-05-2024 08:54:59,24-05-2024 08:55:03,4.080s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,24-05-2024 08:55:03,24-05-2024 08:55:03,0.224s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 125.0.0.0,,,24-05-2024 08:55:03,24-05-2024 08:55:04,0.972s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 125.0.0.0,,,24-05-2024 08:55:04,24-05-2024 08:55:05,1.076s,PASSED
"click(findTestObject(""Page_Login/Link_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:55:05,24-05-2024 08:55:06,0.739s,PASSED
"setText(findTestObject(""Page_Login/input_username""), username)",Chrome 125.0.0.0,,,24-05-2024 08:55:06,24-05-2024 08:55:07,1.332s,PASSED
"setText(findTestObject(""Page_Login/input_password""), password)",Chrome 125.0.0.0,,,24-05-2024 08:55:07,24-05-2024 08:55:08,1.187s,PASSED
"click(findTestObject(""Page_Login/button_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:55:08,24-05-2024 08:55:09,0.584s,PASSED
delay(3),Chrome 125.0.0.0,,,24-05-2024 08:55:09,24-05-2024 08:55:12,3.015s,PASSED
"verifyTextPresent(Expected, false)",Chrome 125.0.0.0,,,24-05-2024 08:55:12,24-05-2024 08:55:14,2.242s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,24-05-2024 08:55:14,24-05-2024 08:55:15,0.537s,PASSED
,,,,,,,
Test Cases/TC_Login,Chrome 125.0.0.0,,,24-05-2024 08:55:15,24-05-2024 08:55:30,15.678s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,24-05-2024 08:55:15,24-05-2024 08:55:16,0.922s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 125.0.0.0,,,24-05-2024 08:55:16,24-05-2024 08:55:19,3.272s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,24-05-2024 08:55:19,24-05-2024 08:55:19,0.331s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 125.0.0.0,,,24-05-2024 08:55:19,24-05-2024 08:55:20,0.708s,PASSED
