Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Page_Register/input_email_or_St""), username)",Chrome 114.0.0.0,,,06-06-2024 13:55:11,06-06-2024 13:55:12,1.236s,PASSED
"click(findTestObject(""Page_Register/button_layma""))",Chrome 114.0.0.0,,,06-06-2024 13:55:12,06-06-2024 13:55:13,0.707s,PASSED
"setText(findTestObject(""Page_Register/input_nhapma""), InsertCode)",Chrome 114.0.0.0,,,06-06-2024 13:55:13,06-06-2024 13:55:15,2.061s,PASSED
"setEncryptedText(findTestObject(""Page_Register/input_password""), password)",Chrome 114.0.0.0,,,06-06-2024 13:55:15,06-06-2024 13:55:15,0.273s,FAILED
,,,,,,,
Test Cases/TC_Register,Chrome 114.0.0.0,,,06-06-2024 13:55:15,06-06-2024 13:55:24,8.717s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,06-06-2024 13:55:15,06-06-2024 13:55:16,0.945s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 114.0.0.0,,,06-06-2024 13:55:16,06-06-2024 13:55:18,2.458s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,06-06-2024 13:55:18,06-06-2024 13:55:18,0.136s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 114.0.0.0,,,06-06-2024 13:55:18,06-06-2024 13:55:19,0.968s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 114.0.0.0,,,06-06-2024 13:55:19,06-06-2024 13:55:20,0.458s,PASSED
"click(findTestObject(""Page_Register/Link_Register""))",Chrome 114.0.0.0,,,06-06-2024 13:55:20,06-06-2024 13:55:20,0.565s,PASSED
"setText(findTestObject(""Page_Register/input_email_or_St""), username)",Chrome 114.0.0.0,,,06-06-2024 13:55:20,06-06-2024 13:55:22,1.260s,PASSED
"click(findTestObject(""Page_Register/button_layma""))",Chrome 114.0.0.0,,,06-06-2024 13:55:22,06-06-2024 13:55:22,0.631s,PASSED
"setText(findTestObject(""Page_Register/input_nhapma""), InsertCode)",Chrome 114.0.0.0,,,06-06-2024 13:55:22,06-06-2024 13:55:23,0.987s,PASSED
"setEncryptedText(findTestObject(""Page_Register/input_password""), password)",Chrome 114.0.0.0,,,06-06-2024 13:55:23,06-06-2024 13:55:24,0.289s,FAILED
,,,,,,,
Test Cases/TC_Register,Chrome 114.0.0.0,,,06-06-2024 13:55:24,06-06-2024 13:55:32,8.527s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,06-06-2024 13:55:24,06-06-2024 13:55:24,0.802s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 114.0.0.0,,,06-06-2024 13:55:24,06-06-2024 13:55:27,2.204s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,06-06-2024 13:55:27,06-06-2024 13:55:27,0.145s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 114.0.0.0,,,06-06-2024 13:55:27,06-06-2024 13:55:28,1.078s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 114.0.0.0,,,06-06-2024 13:55:28,06-06-2024 13:55:28,0.493s,PASSED
"click(findTestObject(""Page_Register/Link_Register""))",Chrome 114.0.0.0,,,06-06-2024 13:55:28,06-06-2024 13:55:29,0.566s,PASSED
"setText(findTestObject(""Page_Register/input_email_or_St""), username)",Chrome 114.0.0.0,,,06-06-2024 13:55:29,06-06-2024 13:55:30,1.225s,PASSED
"click(findTestObject(""Page_Register/button_layma""))",Chrome 114.0.0.0,,,06-06-2024 13:55:30,06-06-2024 13:55:31,0.662s,PASSED
"setText(findTestObject(""Page_Register/input_nhapma""), InsertCode)",Chrome 114.0.0.0,,,06-06-2024 13:55:31,06-06-2024 13:55:32,1.028s,PASSED
"setEncryptedText(findTestObject(""Page_Register/input_password""), password)",Chrome 114.0.0.0,,,06-06-2024 13:55:32,06-06-2024 13:55:32,0.302s,FAILED
,,,,,,,
Test Cases/TC_Register,Chrome 114.0.0.0,,,06-06-2024 13:55:32,06-06-2024 13:55:41,8.835s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,06-06-2024 13:55:32,06-06-2024 13:55:33,0.842s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 114.0.0.0,,,06-06-2024 13:55:33,06-06-2024 13:55:36,2.531s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,06-06-2024 13:55:36,06-06-2024 13:55:36,0.238s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 114.0.0.0,,,06-06-2024 13:55:36,06-06-2024 13:55:36,0.705s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 114.0.0.0,,,06-06-2024 13:55:36,06-06-2024 13:55:37,0.517s,PASSED
"click(findTestObject(""Page_Register/Link_Register""))",Chrome 114.0.0.0,,,06-06-2024 13:55:37,06-06-2024 13:55:38,0.566s,PASSED
"setText(findTestObject(""Page_Register/input_email_or_St""), username)",Chrome 114.0.0.0,,,06-06-2024 13:55:38,06-06-2024 13:55:39,1.226s,PASSED
